attack.emit_force;vyslaní síly
textUi.AttacksUi.choose;Vybrat útok
textUi.AttacksUi.select;Vybrat
textUi.consumed;pozřeno
textUi.cost;hodnota
textUi.current_location0;Stojíš v
textUi.current_location1;Nacházíš se v
textUi.current_location2;Jsi v
textUi.FightUi.attacks;Útoky
textUi.FightUi.facing;Proti tobě stojí
textUi.FightUi.inventory;Inventář
textUi.FightUi.try_flee;Pokusit se uprchnout
textUi.HeroCreationUi.new_game.another;... nebo pouhá další loutka ovládaná rukou osudu.
textUi.HeroCreationUi.new_game.devour;Buď obezřetný. Aby tě tento svět nepohltil... Tak, jak již pohltil mnoho jiných
textUi.HeroCreationUi.new_game.first;Ale nejdřív
textUi.HeroCreationUi.new_game.fragile;Nyní jsi křehký s slabý
textUi.HeroCreationUi.new_game.perhaps;Možná... Jsi ten vyvolený
textUi.HeroCreationUi.new_game.prove;Nyní jdi, dokaž, že nejsi pouhá loutka, ale Ten, koho již dlouho očekáváme
textUi.HeroCreationUi.kind_of_man;Na co se cítíš?
textUi.HeroCreationUi.name0;Jaké je tvé ctěné jméno?
textUi.HeroCreationUi.name1;Prosím, sděl mi jak tě mám nazývat
textUi.HeroCreationUi.wields;třímeš
textUi.HeroCreationUi.new_game.expecting;Očekával jsem tě.
textUi.HeroCreationUi.pleasure;Vítečně! Rád tě poznávám, Poseroutko!
textUi.HeroCreationUi.poop0;Řkul jsi 'Poseroutka', rozuměl jsem správně?
textUi.HeroCreationUi.poop1;0 Ano 1 Ne
textUi.HeroCreationUi.ranger;1. Rychlý lovec. Ohebný, průměrné poškození, průměrná odolnost
textUi.HeroCreationUi.sorcerer;2. Moudrý kouzelník. Vlastníkem nezměrné síly mysli, ale složí ho i slabý vánek
textUi.HeroCreationUi.warrior;0. Statný válečník. Vysoká odolnost, podprůměrné poškození
textUi.InventoryUi.damage_ratio;poškození
textUi.InventoryUi.don't_own;Věc není v inventáři
textUi.InventoryUi.dropped;Co jsi udělal, nejde vrátit zpět
textUi.InventoryUi.empty;Jsi chudý jak krysa
textUi.InventoryUi.choice0.inspect;Prozkoumat věc
textUi.InventoryUi.choice1.equip;Ozbrojit se
textUi.InventoryUi.choice2.drop;Odhodit věc
textUi.InventoryUi.choice3.close;Zavřít inventář
textUi.InventoryUi.not_a_weapon;To, čím se snažíš vyzbrojit, není zbraň. Buďto máš divný smysl pro humor, nebo jsi úplně blbý...
textUi.InventoryUi.not_eligible;Nejsi schopen používat tuto zbraň
textUi.InventoryUi.not_in_inventory;Nemůžeš zahodit to, co nevlastníš
textUi.InventoryUi.really0;Opravdu chceš zahodit
textUi.InventoryUi.really1;? Už to nezískáš zpět
textUi.InventoryUi.replenish;obnovující hodnota
textUi.InventoryUi.type;typ
textUi.InventoryUi.value;hodnota
textUi.InventoryUi.which_one;Zvol
textUi.InventoryUi.wielding;tříme
textUi.location_decision0;Hm?
textUi.location_decision1;Ano, vládče?
textUi.location_decision2;Jaký je plán?
textUi.location_decision3;Kam bys chtěl jít?
textUi.location.just;Je to jen
textUi.menu.no;Ne
textUi.menu.rest;Spočnout
textUi.menu.somewhere;Jít jinam
textUi.menu.trouble;Vyhledat potíže
textUi.menu.yes;Ano
textUi.MerchandiseUi.decline;Odmítnout nabídku a odejít
textUi.MerchandiseUi.not_enough_gold;Nedostatek zlata
textUi.MerchandiseUi.purchased;zakoupeno!
textUi.MerchantUi.leave;Odstoupit
textUi.MerchantUi.talk;Promluvit
textUi.MerchantUi.trade;Obchodovat
textUi.no_money;Bez peněz do hospody nelez
textUi.not_an_option;Není možnost
textUi.one_job;Měl jsi jen jeden úkol...
textUi.resources.drink_shop_happy0;Užij si to
textUi.resources.drink_shop_happy1;Nepřežeň to
textUi.resources.drink_shop_offer0;Nejosvěující nab?dka, přímo před tebou
textUi.resources.drink_shop_offer1;Jen si lokni
textUi.resources.drink_shop_unhappy0;Chcípneš žízní
textUi.resources.drink_shop_unhappy1;Prý nemá žízeň
textUi.resources.drink_shop_unhappy2;Však ty si na mě vzpomeneš, až budeš chcípat žízní
textUi.resources.flee_disabled0;Ty to prostě nechápeš. Teď jsi MŮJ!
textUi.resources.flee_disabled1;Nikam nejdeš!
textUi.resources.flee_disabled2;Nemůžeš utéct poté, co jsi vstoupil na bojiště
textUi.resources.flee_weak0;Jsi moc velký srab i na to, abys utekl. Nepustí tě
textUi.resources.flee_weak1;Nedostatek energie
textUi.resources.flee_weak2;Nezapomeň, že k útěku potřebuješ energii
textUi.resources.flee0;Podařilo se ti utéct. Ehm ehm... Srabehm Ehm
textUi.resources.flee1;Neúspěšný zbabělec úspěně uprkl
textUi.resources.food_shop_happy0;Hlavně si to nezapomeň v kapse. Ještě by ti to tam shnilo
textUi.resources.food_shop_happy1;Nejlepší jíst čerstvé, ale můžeš si to schovat, pro případ nouze.
textUi.resources.food_shop_offer0;Všechno čerstvé!
textUi.resources.food_shop_offer1;Nejsytější jídlo široko daleko
textUi.resources.food_shop_offer2;Pokud hledáš něco na zub, jsi tu správně
textUi.resources.food_shop_unhappy0;Doufám, že chcípneš hlady!
textUi.resources.food_shop_unhappy1;Přicházíš o hodně
textUi.resources.food_shop_unhappy2;Však ty si na mě vzpomeneš, až nebudeš mít dát co do huby
textUi.resources.weapon_shop_happy0;Je mi ctí s Vámi obchodovat
textUi.resources.weapon_shop_happy1;Přijď zase
textUi.resources.weapon_shop_happy2;Děkuji
textUi.resources.weapon_shop_happy3;Vrať se brzy
textUi.resources.weapon_shop_offer0;Ber nebo padej
textUi.resources.weapon_shop_offer1;Podívej co nabízím
textUi.resources.weapon_shop_offer2;Nejlepší zboží široko daleko
textUi.resources.weapon_shop_offer3;Tak co to bude?
textUi.resources.weapon_shop_offer4;Lepšího obchodníka nenajdeš široko daleko
textUi.resources.weapon_shop_unhappy0;Hm... To je škoda. No, s tím nic ale nenadělám...
textUi.resources.weapon_shop_unhappy1;Vypadni
textUi.resources.weapon_shop_unhappy2;Cože?! Neplýtvej mým časem
textUi.resources.weapon_shop_unhappy3;Ti dnešní lidi...
textUi.resources.weapon_shop_unhappy4;Jsi si jist?? Abych všechno nevyprodal zatím co budeš pryč
textUi.RestHeroUi.consume;Pozřít
textUi.RestHeroUi.getUp;Vstát
textUi.RestHeroUi.inventory;Inventář
textUi.RestHeroUi.starve;Vypadá to, že pojdeš hlady
textUi.ShopUi.ask;Koupit
textUi.ShopUi.doors;Dveře vedou
textUi.ShopUi.leave;Opustit toto místo
textUi.ShopUi.talk;Přistoupit k majiteli
textUi.StreetUi.paths;Cesty vedou
textUi.TavernUi.decline_drink;Nakonec nemám žízeň
textUi.TavernUi.decline_food;Nakonec nejsem hladov
textUi.TavernUi.drink;Nabídka nápojů
textUi.TavernUi.food;Nabídka jídel
textUi.TavernUi.offer_drink;Čím bys chtěl ukončit své trápení žízní?
textUi.TavernUi.offer_food;Čím bys chtěl ukončit své trápení hladem?
textUi.TavernUi.rumor;Pomluvy
textUi.textEvents.damage_to;poškození do:
textUi.textEvents.dealt;udělil
textUi.textEvents.died;mrtev
textUi.textEvents.failed;Nepodř?ilo se načíst hru
textUi.textEvents.flee;Pokud by tě přepadla touha uprknout z tohoto světa, zařvi: 'zbaběle utéct'
textUi.textEvents.game_over;Konec hry.
textUi.textEvents.healed;byl vyléčen
textUi.textEvents.not_enough_stamina;nemáš dostatek energie pro tento útok
textUi.textEvents.stamina;energie
textUi.textEvents.used;použil
textUi.textEvents.YOU_DIED;ZHYNULS
textUi.TournamentUi.next;Následující nepřítel:
texUi.TournamentUi.coward;Zbabělče!
texUi.TournamentUi.proceed;Pokračovat
texUi.TournamentUi.pussy_out;Vycouvat
texUi.TournamentUi.won;Vyhráls!
world.arena.arena;aréna
world.building.shop.consumable_shop.grocery;potraviny
world.building.shop.consumable_shop.swift_drink;Zabiják Žízně
world.building.shop.tavern;putyka
world.building.shop.weapon_shop.archery;lovecké potřeby
world.building.shop.weapon_shop.blacksmith;kovárna
world.building.shop.weapon_shop.wand_shop;U Kouzelného kotlíku
world.crossroad.central_crossroad;centrální rozcestí
world.crossroad.indecisive_crossroad;nerozhodné rozcestí
world.crossroad.town_gate;městská brána
world.road.central_road;centrální cesta
world.road.cordial_alley;srdečná álej
world.road.fist_avenue;hlavní třída
world.road.road_of_conflict;ulice konfliktů
world.road.road_of_malice;ulice zlomyslnosti
world.road.tavern_backyard;zadní dvorek
textUi.InteractUi.talk;Promluvit
textUi.InteractUi.trade;Obchodovat
textUi.InteractUi.leave;Opustit
world.square.battle_quarter;Válečná čtvrť
world.square.main_square;hlavní náměstí
hero_name.poop;Poseroutka
textUi.ShopUi.you_see;Vidíš majitele obchodu
drink;pití
food;jídlo
melee;zbraň válečníků
wand;zbraň mágů
ranged;zbraň lovců
textUi.textEvents.to_attack;jako útok
